Round,Date,Team 1,Team 2,FT
1,1892,Derby County,Nottingham Forest,02-Mar
1,1892,Everton,Nottingham Forest,02-Feb
1,1892,Manchester United,Nottingham Forest,01-Mar
1,1892,Notts County,Nottingham Forest,3-0
1,1892,Preston North End,Nottingham Forest,1-0
1,1892,Sheffield Wednesday,Nottingham Forest,02-Feb
1,1892,Stoke City,Nottingham Forest,3-0
1,1892,Sunderland,Nottingham Forest,1-0
1,1892,West Bromwich Albion,Nottingham Forest,02-Feb
1,1892,Wolverhampton Wanderers,Nottingham Forest,02-Feb
1,1892,Accrington F.C.,Notts County,04-Feb
1,1892,Aston Villa,Notts County,03-Jan
1,1892,Blackburn Rovers,Notts County,1-0
1,1892,Bolton Wanderers,Notts County,04-Jan
1,1892,Burnley,Notts County,3-0
1,1892,Derby County,Notts County,04-May
1,1892,Everton,Notts County,6-0
1,1892,Manchester United,Notts County,01-Mar
1,1892,Nottingham Forest,Notts County,03-Jan
1,1892,Preston North End,Notts County,4-0
1,1892,Sheffield Wednesday,Notts County,03-Feb
1,1892,Stoke City,Notts County,1-0
1,1892,Sunderland,Notts County,02-Feb
1,1892,West Bromwich Albion,Notts County,04-Feb
1,1892,Wolverhampton Wanderers,Notts County,3-0
1,1892,Accrington F.C.,Preston North End,01-Feb
1,1892,Aston Villa,Preston North End,03-Jan
1,1892,Blackburn Rovers,Preston North End,0-0
1,1892,Bolton Wanderers,Preston North End,02-Apr
1,1892,Burnley,Preston North End,04-Feb
1,1892,Derby County,Preston North End,01-Feb
1,1892,Everton,Preston North End,6-0
1,1892,Manchester United,Preston North End,02-Jan
1,1892,Nottingham Forest,Preston North End,01-Feb
1,1892,Notts County,Preston North End,03-Jan
1,1892,Sheffield Wednesday,Preston North End,0-5
1,1892,Stoke City,Preston North End,02-Jan
1,1892,Sunderland,Preston North End,2-0
1,1892,West Bromwich Albion,Preston North End,0-1
1,1892,Wolverhampton Wanderers,Preston North End,02-Jan
1,1892,Accrington F.C.,Sheffield Wednesday,04-Feb
1,1892,Aston Villa,Sheffield Wednesday,05-Jan
1,1892,Blackburn Rovers,Sheffield Wednesday,0-2
1,1892,Bolton Wanderers,Sheffield Wednesday,1-0
1,1892,Burnley,Sheffield Wednesday,4-0
1,1892,Derby County,Sheffield Wednesday,02-Feb
1,1892,Everton,Sheffield Wednesday,03-May
1,1892,Manchester United,Sheffield Wednesday,01-May
1,1892,Nottingham Forest,Sheffield Wednesday,2-0
1,1892,Notts County,Sheffield Wednesday,0-1
1,1892,Preston North End,Sheffield Wednesday,04-Jan
1,1892,Stoke City,Sheffield Wednesday,2-0
1,1892,Sunderland,Sheffield Wednesday,04-Feb
1,1892,West Bromwich Albion,Sheffield Wednesday,3-0
1,1892,Wolverhampton Wanderers,Sheffield Wednesday,2-0
1,1892,Accrington F.C.,Stoke City,05-Feb
1,1892,Aston Villa,Stoke City,03-Feb
1,1892,Blackburn Rovers,Stoke City,03-Mar
1,1892,Bolton Wanderers,Stoke City,04-Apr
1,1892,Burnley,Stoke City,03-Feb
1,1892,Derby County,Stoke City,1-0
1,1892,Everton,Stoke City,02-Feb
1,1892,Manchester United,Stoke City,1-0
1,1892,Nottingham Forest,Stoke City,03-Apr
1,1892,Notts County,Stoke City,0-1
1,1892,Preston North End,Stoke City,02-Jan
1,1892,Sheffield Wednesday,Stoke City,0-1
1,1892,Sunderland,Stoke City,03-Jan
1,1892,West Bromwich Albion,Stoke City,01-Feb
1,1892,Wolverhampton Wanderers,Stoke City,1-0
1,1892,Accrington F.C.,Sunderland,0-6
1,1892,Aston Villa,Sunderland,01-Jun
1,1892,Blackburn Rovers,Sunderland,02-Feb
1,1892,Bolton Wanderers,Sunderland,02-Jan
1,1892,Burnley,Sunderland,02-Mar
1,1892,Derby County,Sunderland,01-Jan
1,1892,Everton,Sunderland,01-Apr
1,1892,Manchester United,Sunderland,0-5
1,1892,Nottingham Forest,Sunderland,0-5
1,1892,Notts County,Sunderland,03-Jan
1,1892,Preston North End,Sunderland,01-Feb
1,1892,Sheffield Wednesday,Sunderland,03-Feb
1,1892,Stoke City,Sunderland,0-1
1,1892,West Bromwich Albion,Sunderland,01-Mar
1,1892,Wolverhampton Wanderers,Sunderland,2-0
1,1892,Accrington F.C.,West Bromwich Albion,05-Apr
1,1892,Aston Villa,West Bromwich Albion,05-Feb
1,1892,Blackburn Rovers,West Bromwich Albion,02-Jan
1,1892,Bolton Wanderers,West Bromwich Albion,03-Jan
1,1892,Burnley,West Bromwich Albion,5-0
1,1892,Derby County,West Bromwich Albion,01-Jan
1,1892,Everton,West Bromwich Albion,1-0
1,1892,Manchester United,West Bromwich Albion,02-Apr
1,1892,Nottingham Forest,West Bromwich Albion,03-Apr
1,1892,Notts County,West Bromwich Albion,08-Jan
1,1892,Preston North End,West Bromwich Albion,01-Jan
1,1892,Sheffield Wednesday,West Bromwich Albion,6-0
1,1892,Stoke City,West Bromwich Albion,01-Feb
1,1892,Sunderland,West Bromwich Albion,08-Jan
1,1892,Wolverhampton Wanderers,West Bromwich Albion,01-Jan
1,1892,Accrington F.C.,Wolverhampton Wanderers,4-0
1,1892,Aston Villa,Wolverhampton Wanderers,5-0
1,1892,Blackburn Rovers,Wolverhampton Wanderers,03-Mar
1,1892,Bolton Wanderers,Wolverhampton Wanderers,03-Jan
1,1892,Burnley,Wolverhampton Wanderers,2-0
1,1892,Derby County,Wolverhampton Wanderers,02-Feb
1,1892,Everton,Wolverhampton Wanderers,03-Feb
1,1892,Manchester United,Wolverhampton Wanderers,10-Jan
1,1892,Nottingham Forest,Wolverhampton Wanderers,03-Jan
1,1892,Notts County,Wolverhampton Wanderers,3-0
1,1892,Preston North End,Wolverhampton Wanderers,4-0
1,1892,Sheffield Wednesday,Wolverhampton Wanderers,0-1
1,1892,Stoke City,Wolverhampton Wanderers,02-Jan
1,1892,Sunderland,Wolverhampton Wanderers,05-Feb
1,1892,West Bromwich Albion,Wolverhampton Wanderers,02-Jan
2,1892,Birmingham City,Manchester City,03-Feb
2,1892,Bootle,Manchester City,05-Mar
2,1892,Burton Swifts,Manchester City,2-0
2,1892,Crewe Alexandra,Manchester City,04-Jan
2,1892,Darwen,Manchester City,03-Jan
2,1892,Grimsby Town,Manchester City,2-0
2,1892,Lincoln City,Manchester City,02-Jan
2,1892,Northwich Victoria,Manchester City,0-3
2,1892,Port Vale,Manchester City,01-Feb
2,1892,Sheffield United,Manchester City,02-Jan
2,1892,Walsall,Manchester City,02-Apr
2,1892,Manchester City,Birmingham City,02-Feb
2,1892,Bootle,Birmingham City,01-Apr
2,1892,Burton Swifts,Birmingham City,02-Mar
2,1892,Crewe Alexandra,Birmingham City,01-Mar
2,1892,Darwen,Birmingham City,04-Mar
2,1892,Grimsby Town,Birmingham City,03-Feb
2,1892,Lincoln City,Birmingham City,03-Apr
2,1892,Northwich Victoria,Birmingham City,0-6
2,1892,Port Vale,Birmingham City,0-3
2,1892,Sheffield United,Birmingham City,2-0
2,1892,Walsall,Birmingham City,01-Mar
2,1892,Manchester City,Bootle,7-0
2,1892,Birmingham City,Bootle,06-Feb
2,1892,Burton Swifts,Bootle,02-Jan
2,1892,Crewe Alexandra,Bootle,02-Jan
2,1892,Darwen,Bootle,3-0
2,1892,Grimsby Town,Bootle,3-0
2,1892,Lincoln City,Bootle,05-Jan
2,1892,Northwich Victoria,Bootle,03-Feb
2,1892,Port Vale,Bootle,0-0
2,1892,Sheffield United,Bootle,08-Mar
2,1892,Walsall,Bootle,04-Apr
2,1892,Manchester City,Burton Swifts,01-Jan
2,1892,Birmingham City,Burton Swifts,03-Feb
2,1892,Bootle,Burton Swifts,03-Feb
2,1892,Crewe Alexandra,Burton Swifts,02-Apr
2,1892,Darwen,Burton Swifts,02-Mar
2,1892,Grimsby Town,Burton Swifts,4-0
2,1892,Lincoln City,Burton Swifts,05-Jan
2,1892,Northwich Victoria,Burton Swifts,02-Jan
2,1892,Port Vale,Burton Swifts,1-0
2,1892,Sheffield United,Burton Swifts,03-Jan
2,1892,Walsall,Burton Swifts,03-Feb
2,1892,Manchester City,Crewe Alexandra,03-Jan
2,1892,Birmingham City,Crewe Alexandra,6-0
2,1892,Bootle,Crewe Alexandra,02-Jan
2,1892,Burton Swifts,Crewe Alexandra,07-Jan
2,1892,Darwen,Crewe Alexandra,07-Mar
2,1892,Grimsby Town,Crewe Alexandra,4-0
2,1892,Lincoln City,Crewe Alexandra,01-Jan
2,1892,Northwich Victoria,Crewe Alexandra,04-Jan
2,1892,Port Vale,Crewe Alexandra,04-Jan
2,1892,Sheffield United,Crewe Alexandra,4-0
2,1892,Walsall,Crewe Alexandra,03-Mar
2,1892,Manchester City,Darwen,04-Feb
2,1892,Birmingham City,Darwen,06-Feb
2,1892,Bootle,Darwen,05-Jan
2,1892,Burton Swifts,Darwen,0-2
2,1892,Crewe Alexandra,Darwen,02-Feb
2,1892,Grimsby Town,Darwen,0-1
2,1892,Lincoln City,Darwen,01-Jan
2,1892,Northwich Victoria,Darwen,1-0
2,1892,Port Vale,Darwen,02-Apr
2,1892,Sheffield United,Darwen,2-0
2,1892,Walsall,Darwen,01-Feb
2,1892,Manchester City,Grimsby Town,0-3
2,1892,Birmingham City,Grimsby Town,08-Mar
2,1892,Bootle,Grimsby Town,03-Jan
2,1892,Burton Swifts,Grimsby Town,05-Jan
2,1892,Crewe Alexandra,Grimsby Town,1-0
2,1892,Darwen,Grimsby Town,06-Jan
2,1892,Lincoln City,Grimsby Town,01-Mar
2,1892,Northwich Victoria,Grimsby Town,05-Mar
2,1892,Port Vale,Grimsby Town,0-1
2,1892,Sheffield United,Grimsby Town,2-0
2,1892,Walsall,Grimsby Town,03-Jan
2,1892,Manchester City,Lincoln City,03-Jan
2,1892,Birmingham City,Lincoln City,04-Jan
2,1892,Bootle,Lincoln City,04-Jan
2,1892,Burton Swifts,Lincoln City,04-Feb
2,1892,Crewe Alexandra,Lincoln City,04-Jan
2,1892,Darwen,Lincoln City,03-Jan
2,1892,Grimsby Town,Lincoln City,02-Feb
2,1892,Northwich Victoria,Lincoln City,02-Jan
2,1892,Port Vale,Lincoln City,01-Feb
2,1892,Sheffield United,Lincoln City,04-Feb
2,1892,Walsall,Lincoln City,02-Jan
2,1892,Manchester City,Northwich Victoria,01-Jan
2,1892,Birmingham City,Northwich Victoria,06-Feb
2,1892,Bootle,Northwich Victoria,02-May
2,1892,Burton Swifts,Northwich Victoria,2-0
2,1892,Crewe Alexandra,Northwich Victoria,04-Feb
2,1892,Darwen,Northwich Victoria,03-Jan
2,1892,Grimsby Town,Northwich Victoria,02-Jan
2,1892,Lincoln City,Northwich Victoria,05-Jan
2,1892,Port Vale,Northwich Victoria,4-0
2,1892,Sheffield United,Northwich Victoria,01-Jan
2,1892,Walsall,Northwich Victoria,02-Mar
2,1892,Manchester City,Port Vale,2-0
2,1892,Birmingham City,Port Vale,05-Jan
2,1892,Bootle,Port Vale,01-Jan
2,1892,Burton Swifts,Port Vale,03-Mar
2,1892,Crewe Alexandra,Port Vale,5-0
2,1892,Darwen,Port Vale,04-Jan
2,1892,Grimsby Town,Port Vale,2-0
2,1892,Lincoln City,Port Vale,03-Apr
2,1892,Northwich Victoria,Port Vale,02-Apr
2,1892,Sheffield United,Port Vale,4-0
2,1892,Walsall,Port Vale,3-0
2,1892,Manchester City,Sheffield United,02-Mar
2,1892,Birmingham City,Sheffield United,01-Jan
2,1892,Bootle,Sheffield United,2-0
2,1892,Burton Swifts,Sheffield United,0-3
2,1892,Crewe Alexandra,Sheffield United,0-4
2,1892,Darwen,Sheffield United,03-Jan
2,1892,Grimsby Town,Sheffield United,0-1
2,1892,Lincoln City,Sheffield United,1-0
2,1892,Northwich Victoria,Sheffield United,01-Mar
2,1892,Port Vale,Sheffield United,0-10
2,1892,Walsall,Sheffield United,01-Jan
2,1892,Manchester City,Walsall,2-0
2,1892,Birmingham City,Walsall,12-0
2,1892,Bootle,Walsall,07-Jan
2,1892,Burton Swifts,Walsall,03-Feb
2,1892,Crewe Alexandra,Walsall,05-Jun
2,1892,Darwen,Walsall,5-0
2,1892,Grimsby Town,Walsall,3-0
2,1892,Lincoln City,Walsall,03-Jan
2,1892,Northwich Victoria,Walsall,05-Feb
2,1892,Port Vale,Walsall,3-0
2,1892,Sheffield United,Walsall,3-0
1,1893,Blackburn Rovers,Aston Villa,2-0
1,1893,Bolton Wanderers,Aston Villa,0-1
1,1893,Burnley,Aston Villa,03-Jun
1,1893,Darwen,Aston Villa,01-Jan
1,1893,Derby County,Aston Villa,0-3
1,1893,Everton,Aston Villa,04-Feb
1,1893,Manchester United,Aston Villa,01-Mar
1,1893,Nottingham Forest,Aston Villa,01-Feb
1,1893,Preston North End,Aston Villa,02-May
1,1893,Sheffield United,Aston Villa,3-0
1,1893,Sheffield Wednesday,Aston Villa,02-Feb
1,1893,Stoke City,Aston Villa,03-Mar
1,1893,Sunderland,Aston Villa,01-Jan
1,1893,West Bromwich Albion,Aston Villa,03-Jun
1,1893,Wolverhampton Wanderers,Aston Villa,3-0
1,1893,Aston Villa,Blackburn Rovers,02-Jan
1,1893,Bolton Wanderers,Blackburn Rovers,02-Jan
1,1893,Burnley,Blackburn Rovers,1-0
1,1893,Darwen,Blackburn Rovers,02-Mar
1,1893,Derby County,Blackburn Rovers,05-Feb
1,1893,Everton,Blackburn Rovers,02-Feb
1,1893,Manchester United,Blackburn Rovers,05-Jan
1,1893,Nottingham Forest,Blackburn Rovers,0-0
1,1893,Preston North End,Blackburn Rovers,0-1
1,1893,Sheffield United,Blackburn Rovers,03-Feb
1,1893,Sheffield Wednesday,Blackburn Rovers,04-Feb
1,1893,Stoke City,Blackburn Rovers,03-Jan
1,1893,Sunderland,Blackburn Rovers,02-Mar
1,1893,West Bromwich Albion,Blackburn Rovers,02-Jan
1,1893,Wolverhampton Wanderers,Blackburn Rovers,05-Jan
1,1893,Aston Villa,Bolton Wanderers,02-Mar
1,1893,Blackburn Rovers,Bolton Wanderers,0-1
1,1893,Burnley,Bolton Wanderers,02-Jan
1,1893,Darwen,Bolton Wanderers,01-Mar
1,1893,Derby County,Bolton Wanderers,06-Jan
1,1893,Everton,Bolton Wanderers,03-Feb
1,1893,Manchester United,Bolton Wanderers,02-Feb
1,1893,Nottingham Forest,Bolton Wanderers,1-0
1,1893,Preston North End,Bolton Wanderers,1-0
1,1893,Sheffield United,Bolton Wanderers,04-Feb
1,1893,Sheffield Wednesday,Bolton Wanderers,02-Jan
1,1893,Stoke City,Bolton Wanderers,5-0
1,1893,Sunderland,Bolton Wanderers,02-Jan
1,1893,West Bromwich Albion,Bolton Wanderers,05-Feb
1,1893,Wolverhampton Wanderers,Bolton Wanderers,02-Jan
1,1893,Aston Villa,Burnley,4-0
1,1893,Blackburn Rovers,Burnley,03-Feb
1,1893,Bolton Wanderers,Burnley,2-0
1,1893,Darwen,Burnley,0-0
1,1893,Derby County,Burnley,03-Mar
1,1893,Everton,Burnley,04-Mar
1,1893,Manchester United,Burnley,03-Feb
1,1893,Nottingham Forest,Burnley,5-0
1,1893,Preston North End,Burnley,01-Feb
1,1893,Sheffield United,Burnley,1-0
1,1893,Sheffield Wednesday,Burnley,0-1
1,1893,Stoke City,Burnley,04-Feb
1,1893,Sunderland,Burnley,02-Feb
1,1893,West Bromwich Albion,Burnley,01-Jan
1,1893,Wolverhampton Wanderers,Burnley,1-0
1,1893,Aston Villa,Darwen,9-0
1,1893,Blackburn Rovers,Darwen,04-Jan
1,1893,Bolton Wanderers,Darwen,1-0
1,1893,Burnley,Darwen,05-Jan
1,1893,Derby County,Darwen,02-Jan
1,1893,Everton,Darwen,08-Jan
1,1893,Manchester United,Darwen,0-1
1,1893,Nottingham Forest,Darwen,04-Jan
1,1893,Preston North End,Darwen,04-Jan
1,1893,Sheffield United,Darwen,02-Jan
1,1893,Sheffield Wednesday,Darwen,5-0
1,1893,Stoke City,Darwen,03-Jan
1,1893,Sunderland,Darwen,4-0
1,1893,West Bromwich Albion,Darwen,02-Feb
1,1893,Wolverhampton Wanderers,Darwen,02-Jan
1,1893,Aston Villa,Derby County,01-Jan
1,1893,Blackburn Rovers,Derby County,0-2
1,1893,Bolton Wanderers,Derby County,01-Jan
1,1893,Burnley,Derby County,03-Jan
1,1893,Darwen,Derby County,02-Mar
1,1893,Everton,Derby County,01-Feb
1,1893,Manchester United,Derby County,02-Jun
1,1893,Nottingham Forest,Derby County,04-Feb
1,1893,Preston North End,Derby County,1-0
1,1893,Sheffield United,Derby County,01-Feb
1,1893,Sheffield Wednesday,Derby County,4-0
1,1893,Stoke City,Derby County,03-Jan
1,1893,Sunderland,Derby County,5-0
1,1893,West Bromwich Albion,Derby County,0-1
1,1893,Wolverhampton Wanderers,Derby County,02-Apr
1,1893,Aston Villa,Everton,03-Jan
1,1893,Blackburn Rovers,Everton,04-Mar
1,1893,Bolton Wanderers,Everton,0-1
1,1893,Burnley,Everton,02-Jan
1,1893,Darwen,Everton,03-Mar
1,1893,Derby County,Everton,07-Mar
1,1893,Manchester United,Everton,0-3
1,1893,Nottingham Forest,Everton,03-Feb
1,1893,Preston North End,Everton,02-Apr
1,1893,Sheffield United,Everton,0-3
1,1893,Sheffield Wednesday,Everton,01-Jan
1,1893,Stoke City,Everton,03-Jan
1,1893,Sunderland,Everton,1-0
1,1893,West Bromwich Albion,Everton,03-Jan
1,1893,Wolverhampton Wanderers,Everton,2-0
1,1893,Aston Villa,Manchester United,05-Jan
1,1893,Blackburn Rovers,Manchester United,4-0
1,1893,Bolton Wanderers,Manchester United,2-0
1,1893,Burnley,Manchester United,04-Jan
1,1893,Darwen,Manchester United,1-0
1,1893,Derby County,Manchester United,2-0
1,1893,Everton,Manchester United,2-0
1,1893,Nottingham Forest,Manchester United,2-0
1,1893,Preston North End,Manchester United,2-0
1,1893,Sheffield United,Manchester United,03-Jan
1,1893,Sheffield Wednesday,Manchester United,0-1
1,1893,Stoke City,Manchester United,03-Jan
1,1893,Sunderland,Manchester United,04-Jan
1,1893,West Bromwich Albion,Manchester United,03-Jan
1,1893,Wolverhampton Wanderers,Manchester United,2-0
1,1893,Aston Villa,Nottingham Forest,03-Jan
1,1893,Blackburn Rovers,Nottingham Forest,06-Jan
1,1893,Bolton Wanderers,Nottingham Forest,01-Jan
1,1893,Burnley,Nottingham Forest,03-Jan
1,1893,Darwen,Nottingham Forest,0-4
1,1893,Derby County,Nottingham Forest,03-Apr
1,1893,Everton,Nottingham Forest,4-0
1,1893,Manchester United,Nottingham Forest,01-Jan
1,1893,Preston North End,Nottingham Forest,0-2
1,1893,Sheffield United,Nottingham Forest,0-2
1,1893,Sheffield Wednesday,Nottingham Forest,1-0
1,1893,Stoke City,Nottingham Forest,02-Jan
1,1893,Sunderland,Nottingham Forest,2-0
1,1893,West Bromwich Albion,Nottingham Forest,3-0
1,1893,Wolverhampton Wanderers,Nottingham Forest,03-Jan
1,1893,Aston Villa,Preston North End,2-0
1,1893,Blackburn Rovers,Preston North End,1-0
1,1893,Bolton Wanderers,Preston North End,0-3
1,1893,Burnley,Preston North End,04-Jan
1,1893,Darwen,Preston North End,02-Jan
1,1893,Derby County,Preston North End,02-Jan
1,1893,Everton,Preston North End,02-Mar
1,1893,Manchester United,Preston North End,01-Mar
1,1893,Nottingham Forest,Preston North End,04-Feb
1,1893,Sheffield United,Preston North End,01-Jan
1,1893,Sheffield Wednesday,Preston North End,3-0
1,1893,Stoke City,Preston North End,02-Jan
1,1893,Sunderland,Preston North End,06-Mar
1,1893,West Bromwich Albion,Preston North End,2-0
1,1893,Wolverhampton Wanderers,Preston North End,0-0
1,1893,Aston Villa,Sheffield United,4-0
1,1893,Blackburn Rovers,Sheffield United,04-Jan
1,1893,Bolton Wanderers,Sheffield United,0-1
1,1893,Burnley,Sheffield United,04-Jan
1,1893,Darwen,Sheffield United,03-Mar
1,1893,Derby County,Sheffield United,02-Jan
1,1893,Everton,Sheffield United,02-Mar
1,1893,Manchester United,Sheffield United,0-2
1,1893,Nottingham Forest,Sheffield United,01-Jan
1,1893,Preston North End,Sheffield United,3-0
1,1893,Sheffield Wednesday,Sheffield United,01-Feb
1,1893,Stoke City,Sheffield United,5-0
1,1893,Sunderland,Sheffield United,04-Jan
1,1893,West Bromwich Albion,Sheffield United,03-Jan
1,1893,Wolverhampton Wanderers,Sheffield United,03-Apr
1,1893,Aston Villa,Sheffield Wednesday,3-0
1,1893,Blackburn Rovers,Sheffield Wednesday,05-Jan
1,1893,Bolton Wanderers,Sheffield Wednesday,01-Jan
1,1893,Burnley,Sheffield Wednesday,0-1
1,1893,Darwen,Sheffield Wednesday,02-Jan
1,1893,Derby County,Sheffield Wednesday,03-Mar
1,1893,Everton,Sheffield Wednesday,08-Jan
1,1893,Manchester United,Sheffield Wednesday,01-Feb
1,1893,Nottingham Forest,Sheffield Wednesday,1-0
1,1893,Preston North End,Sheffield Wednesday,1-0
1,1893,Sheffield United,Sheffield Wednesday,01-Jan
1,1893,Stoke City,Sheffield Wednesday,04-Jan
1,1893,Sunderland,Sheffield Wednesday,01-Jan
1,1893,West Bromwich Albion,Sheffield Wednesday,02-Feb
1,1893,Wolverhampton Wanderers,Sheffield Wednesday,03-Jan
1,1893,Aston Villa,Stoke City,05-Jan
1,1893,Blackburn Rovers,Stoke City,5-0
1,1893,Bolton Wanderers,Stoke City,04-Jan
1,1893,Burnley,Stoke City,4-0
1,1893,Darwen,Stoke City,03-Jan
1,1893,Derby County,Stoke City,05-Feb
1,1893,Everton,Stoke City,06-Feb
1,1893,Manchester United,Stoke City,06-Feb
1,1893,Nottingham Forest,Stoke City,2-0
1,1893,Preston North End,Stoke City,03-Mar
1,1893,Sheffield United,Stoke City,03-Mar
1,1893,Sheffield Wednesday,Stoke City,04-Jan
1,1893,Sunderland,Stoke City,4-0
1,1893,West Bromwich Albion,Stoke City,04-Feb
1,1893,Wolverhampton Wanderers,Stoke City,04-Feb
1,1893,Aston Villa,Sunderland,02-Jan
1,1893,Blackburn Rovers,Sunderland,04-Mar
1,1893,Bolton Wanderers,Sunderland,2-0
1,1893,Burnley,Sunderland,1-0
1,1893,Darwen,Sunderland,0-3
1,1893,Derby County,Sunderland,01-Apr
1,1893,Everton,Sunderland,07-Jan
1,1893,Manchester United,Sunderland,02-Apr
1,1893,Nottingham Forest,Sunderland,01-Feb
1,1893,Preston North End,Sunderland,01-Feb
1,1893,Sheffield United,Sunderland,1-0
1,1893,Sheffield Wednesday,Sunderland,02-Feb
1,1893,Stoke City,Sunderland,2-0
1,1893,West Bromwich Albion,Sunderland,02-Mar
1,1893,Wolverhampton Wanderers,Sunderland,02-Jan
1,1893,Aston Villa,West Bromwich Albion,03-Feb
1,1893,Blackburn Rovers,West Bromwich Albion,3-0
1,1893,Bolton Wanderers,West Bromwich Albion,0-3
1,1893,Burnley,West Bromwich Albion,3-0
1,1893,Darwen,West Bromwich Albion,02-Jan
1,1893,Derby County,West Bromwich Albion,02-Mar
1,1893,Everton,West Bromwich Albion,07-Jan
1,1893,Manchester United,West Bromwich Albion,04-Jan
1,1893,Nottingham Forest,West Bromwich Albion,02-Mar
1,1893,Preston North End,West Bromwich Albion,03-Jan
1,1893,Sheffield United,West Bromwich Albion,0-2
1,1893,Sheffield Wednesday,West Bromwich Albion,02-Apr
1,1893,Stoke City,West Bromwich Albion,03-Jan
1,1893,Sunderland,West Bromwich Albion,02-Jan
1,1893,Wolverhampton Wanderers,West Bromwich Albion,0-8
1,1893,Aston Villa,Wolverhampton Wanderers,01-Jan
1,1893,Blackburn Rovers,Wolverhampton Wanderers,3-0
1,1893,Bolton Wanderers,Wolverhampton Wanderers,2-0
1,1893,Burnley,Wolverhampton Wanderers,04-Feb
1,1893,Darwen,Wolverhampton Wanderers,03-Jan
1,1893,Derby County,Wolverhampton Wanderers,04-Jan
1,1893,Everton,Wolverhampton Wanderers,3-0
1,1893,Manchester United,Wolverhampton Wanderers,1-0
1,1893,Nottingham Forest,Wolverhampton Wanderers,07-Jan
1,1893,Preston North End,Wolverhampton Wanderers,01-Mar
1,1893,Sheffield United,Wolverhampton Wanderers,03-Feb
1,1893,Sheffield Wednesday,Wolverhampton Wanderers,01-Apr
1,1893,Stoke City,Wolverhampton Wanderers,0-3
1,1893,Sunderland,Wolverhampton Wanderers,6-0
1,1893,West Bromwich Albion,Wolverhampton Wanderers,0-0
2,1893,Birmingham City,Arsenal,04-Jan
2,1893,Burton Swifts,Arsenal,06-Feb
2,1893,Crewe Alexandra,Arsenal,0-0
2,1893,Grimsby Town,Arsenal,03-Jan
2,1893,Lincoln City,Arsenal,3-0
2,1893,Liverpool,Arsenal,2-0
2,1893,Manchester City,Arsenal,0-1
2,1893,Middlesbrough Ironopolis,Arsenal,03-Jun
2,1893,Newcastle United,Arsenal,6-0
2,1893,Northwich Victoria,Arsenal,02-Feb
2,1893,Notts County,Arsenal,03-Feb
